ID,City,Country,Latitude,Longitude,Elevation (m),Elevation (ft),Max Temp (F),Adj Temp (F),Humidity (%),Wind Speed (mph),Cloudiness (%),Date
18,Cherskiy,RU,68.75,161.3,1,3.28084,37.68,37.69148294,72,4.85,76,1538015849
19,Barrow,US,39.51,-90.4,199.1559296,653.39874,60.98,63.26689559,75,3.36,1,1538014500
20,Gimli,CA,50.63,-96.99,219,718.50396,38.31,40.82476386,100,2.95,24,1538015604
21,Antalya,TR,36.9,30.69,55.11103821,180.8104986,69.8,70.43283675,46,9.17,0,1538013000
22,Iqaluit,CA,63.75,-68.52,28.18400002,92.46719461,32,32.32363518,100,12.75,40,1538013600
23,Ongandjera,NA,-17.88,15.07,1104.721802,3624.415476,64.05,76.73545417,38,9.78,0,1538015870
24,Erdenet,MN,49.03,104.04,1360.106689,4462.292431,40.56,56.17802351,79,2.73,44,1538015870
25,Kita,ML,13.04,-9.49,332.3945007,1090.533174,72.69,76.50686611,81,2.73,8,1538015870
26,Butaritari,KI,3.07,172.79,8.440905571,27.69326063,83.94,84.03692641,100,6.98,8,1538015866
27,Ostrovnoy,RU,68.05,39.51,19,62.33596,39.57,39.78817586,97,9.78,92,1538015871
28,Georgetown,SH,-7.93,-14.42,1.622661471,5.323692662,75.21,75.22863292,100,17.6,56,1538015871
29,Kruisfontein,ZA,-34,24.73,240.0604401,787.5998942,54.06,56.81659963,93,4.63,44,1538015871
30,Kodiak,US,39.95,-94.76,292.7092896,960.3323455,53.06,56.42116321,77,3.36,1,1538013180
31,Rikitea,PF,-23.12,-134.97,10.88686657,35.71806732,70.89,71.01501324,100,21.52,88,1538015864
32,Kununurra,AU,-15.77,128.74,50.72711182,166.4275375,89.6,90.18249638,43,5.82,90,1538013600
33,Jamestown,SH,-15.94,-5.72,399,1309.05516,65.58,70.16169306,100,16.49,68,1538015872
34,Valparaiso,CL,-33.04,-71.63,40.44077301,132.6797057,53.6,54.06437897,93,3.18,90,1538013600
35,Cape Town,ZA,-33.93,18.42,26.87131691,88.16049137,57.2,57.50856172,93,23.04,75,1538013600
36,Namibe,AO,-15.19,12.15,5.844017982,19.17328796,65.13,65.19710651,100,7.31,12,1538015827
37,San Juan De Uraba,CO,8.76,-76.53,22.03557014,72.29517995,78.45,78.70303313,100,3.85,80,1538015873
38,Hilo,US,19.71,-155.08,16.21504974,53.1989838,86,86.18619644,67,11.41,75,1538013360
39,Leningradskiy,RU,69.38,178.42,7.491461754,24.57828738,40.92,41.00602401,95,15.82,56,1538015874
40,Villarrica,CL,-39.28,-72.23,230.7168121,756.9449459,41.91,44.55930731,96,2.73,92,1538015874
41,Saint George,BM,32.38,-64.68,16.84353828,55.26095414,77,77.19341334,69,11.41,75,1538013300
42,Saint-Pierre,RE,-21.34,55.48,22.94309807,75.27263387,69.8,70.06345422,52,8.05,0,1538013600
43,Ancud,CL,-41.87,-73.83,4.688848495,15.3833617,45.69,45.74384177,98,5.97,88,1538015875
44,Lebu,CL,-37.62,-73.65,183.1880493,601.0106797,53.7,55.80353738,96,6.64,92,1538015875
45,Fort Nelson,CA,58.81,-122.69,421.9190979,1384.249053,46.4,51.24487169,65,3.36,75,1538013600
46,Paamiut,GL,61.99,-49.67,4.694559574,15.40209883,40.11,40.16390735,96,38.41,92,1538015875
47,Celestun,MX,20.87,-90.4,0,0,82.41,82.41,100,16.26,24,1538015875
48,Mayya,RU,61.74,130.28,150.0873871,492.412703,46.4,48.12344446,61,3.74,0,1538013600
49,Khatanga,RU,71.98,102.47,37.58133316,123.2983411,32.46,32.89154419,84,20.4,56,1538015876
50,Flinders,AU,-34.58,150.85,18.02219582,59.12794092,64.4,64.60694779,48,8.05,0,1538010000
51,Ambalavao,MG,-21.83,46.94,1010.153748,3314.152821,50.37,61.96953487,93,2.39,24,1538015876
52,Castro,CL,-42.48,-73.76,7.788067341,25.55140285,45.15,45.23942991,96,6.42,92,1538015824
53,Auki,SB,-8.77,160.7,40.97586823,134.4352675,76.92,77.39052344,100,16.15,92,1538015877
54,Beringovskiy,RU,63.05,179.32,29.98829842,98.38680898,45.78,46.12435383,96,25.21,92,1538015877
55,Puerto Ayora,EC,-0.74,-90.35,39.42396927,129.3437353,70.26,70.71270307,100,11.12,44,1538015836
56,Ushuaia,AR,-54.81,-68.31,0.55449599,1.819212625,39.2,39.20636724,51,6.93,0,1538013600
57,Torbay,CA,47.66,-52.73,0,0,48.2,48.2,81,17.22,90,1538013600
58,Nikolskoye,RU,59.7,30.79,25.57333374,83.90201627,48.2,48.49365706,66,20.13,40,1538013600
59,Muroto,JP,33.37,134.14,178.5870667,585.9155917,71.6,73.65070457,73,3.36,75,1538013600
60,Huarmey,PE,-10.07,-78.15,12,39.37008,56.58,56.71779528,82,3.18,0,1538015863
61,Kloulklubed,PW,7.04,134.26,23.70294762,77.76557866,86,86.27217953,74,13.87,75,1538013000
62,Dikson,RU,73.51,80.55,40.833992,133.9697943,37.86,38.32889428,100,14.92,76,1538015848
63,Los Llanos De Aridane,ES,28.66,-17.92,329.7692871,1081.920268,71.6,75.38672094,88,8.05,0,1538013600
64,Provideniya,RU,64.42,-173.23,12.18267536,39.96940863,50,50.13989293,76,13.42,75,1538013600
65,Tautira,PF,-17.73,-149.15,-324.5338135,-1064.743517,78.8,75.07339769,61,4.7,75,1538013600
66,Cidreira,BR,-30.17,-50.22,18.51212883,60.73533275,67.83,68.04257366,98,4.97,92,1538015830
67,Pevek,RU,69.7,170.27,1.159379721,3.803739363,44.61,44.62331309,91,14.03,64,1538015880
68,Conde,BR,-11.81,-37.61,6.23474884,20.45521339,75.3,75.37159325,90,8.1,88,1538015880
69,Tura,RU,64.27,100.22,199.5959778,654.8424678,35.88,38.17194864,77,4.85,8,1538015880
70,Batagay-Alyta,RU,67.8,130.41,503.2396851,1651.048888,23.1,28.87867111,85,6.64,92,1538015881
71,Thompson,CA,55.74,-97.86,205.965332,675.7392999,37.4,39.76508755,74,3.36,75,1538013600
72,Constitucion,MX,23.99,-104.67,1884.294189,6182.067749,68,89.63723712,64,6.93,90,1538012700
73,Buchanan,LR,5.88,-10.05,7.021049023,23.03493848,77,77.08062228,94,5.82,75,1538013600
74,Hermanus,ZA,-34.42,19.24,23.73564339,77.87284825,53.43,53.70255497,87,8.21,20,1538015867
75,Margate,ZA,-30.86,30.37,41.07110977,134.7477398,66.39,66.86161709,93,16.15,0,1538015882
76,Puerto Del Rosario,ES,28.5,-13.86,22.77594185,74.72422106,73.4,73.66153477,73,3.36,0,1538013600
77,Pangnirtung,CA,66.15,-65.72,-0.437704653,-1.436038932,25.44,25.43497386,82,7.2,0,1538015882
78,Ixtapa,MX,20.71,-105.21,31.81302071,104.3734309,84.2,84.56530701,83,0.94,90,1538012820
79,Niceville,US,30.52,-86.48,15.67468643,51.42613823,78.98,79.15999148,93,4.74,75,1538014020
80,Tuktoyaktuk,CA,69.44,-133.03,0,0,30.2,30.2,74,17.22,75,1538013600
81,Talnakh,RU,69.49,88.39,78.85778046,258.7197604,43.35,44.25551916,93,20.96,100,1538015883
82,Port Alfred,ZA,-33.59,26.89,19.96259117,65.49406762,62.79,63.01922924,94,13.8,0,1538015884
83,Hailar,CN,49.2,119.7,623.7797241,2046.52147,61.8,68.96282515,53,18.28,0,1538015884
84,East London,ZA,-33.02,27.91,34.73191833,113.949867,68.1,68.49882453,100,21.18,8,1538015856
85,Kristiansund,NO,63.12,7.73,2.04622221,6.713327675,48.2,48.22349665,75,26.4,92,1538014800
86,Avarua,CK,-21.21,-159.78,19.53422928,64.08868079,80.6,80.82431038,74,5.82,75,1538013600
87,Upernavik,GL,72.79,-56.15,0,0,34.53,34.53,100,20.29,76,1538015819
88,Petkovci,BA,44.45,19.08,183.6680908,602.5856191,31.38,33.48904967,83,2.06,0,1538015885
89,Esperance,AU,-33.86,121.89,12.19911098,40.02333128,59.73,59.87008166,79,7.2,80,1538015886
90,Mar Del Plata,AR,-46.43,-67.52,29.30946541,96.15966649,42.18,42.51655883,87,11.45,64,1538015886
91,New Norfolk,AU,-42.78,147.06,26.50635147,86.96309816,64.4,64.70437084,36,13.87,20,1538013600
92,San Borja,BO,-14.86,-66.75,195.5564423,641.589398,76.2,78.44556289,82,1.95,32,1538015886
93,Bredasdorp,ZA,-34.53,20.04,80.4845047,264.0567824,60.8,61.72419874,67,3.36,56,1538013600
94,San Carlos De Bariloche,AR,-41.13,-71.31,769,2522.96596,35.6,44.43038086,93,6.93,90,1538013600
95,Guerande,FR,48.47,-4.17,134.3359985,440.7349174,57.2,58.74257221,58,10.29,0,1538013600
96,Kurchum,KZ,48.57,83.65,421.9730835,1384.426171,54.33,59.1754916,72,5.19,0,1538015888
97,Vaini,TO,-21.2,-175.2,20,65.6168,80.6,80.8296588,65,8.05,40,1538013600
98,Piopio,NZ,-38.47,175.01,136.7178497,448.5493901,54.33,55.89992287,67,11.12,64,1538015888
99,Bilma,NE,18.69,12.92,358.2600098,1175.39377,70.08,74.1938782,31,2.95,0,1538015888
100,Mirnyy,RU,56.57,36.46,136.0675507,446.4158629,43.35,44.91245552,94,29.57,92,1538015889
101,Akhtanizovskaya,RU,45.32,37.1,4.757333279,15.60804931,42.8,42.85462817,93,6.71,88,1538013600
102,Bambous Virieux,MU,-20.34,57.76,9.323868752,30.59012155,71.6,71.70706543,78,11.41,40,1538013600
103,Tshela,CD,-4.99,12.94,133.8586121,439.1686888,69.09,70.62709041,89,4.63,36,1538015889
104,Yelizovo,RU,53.19,158.38,28.73438644,94.27292442,60.8,61.12995524,57,17.9,12,1538013600
105,Nikki,BJ,9.94,3.21,403.2384949,1322.960984,72.6,77.23036344,96,8.77,12,1538015890
106,Bolgar,RU,54.97,49.03,83.13510895,272.7529908,41,41.95463547,80,8.95,75,1538013600
107,Trabzon,TR,41.01,39.72,8.796103477,28.85860813,60.8,60.90100513,72,13.87,75,1538013000
108,Loveland,US,40.4,-105.08,1520.410278,4988.222858,62.6,80.05878,5,4.7,1,1538013360
109,Sobolevo,RU,54.43,31.9,186.6497803,612.3680651,45.96,48.10328823,93,29.12,92,1538015891
110,Visnes,NO,59.36,5.22,23.24944305,76.27770275,53.6,53.86697196,76,14.99,92,1538014800
111,Charters Towers,AU,-20.07,146.27,300.9297485,987.3023562,77.64,81.09555825,71,7.09,0,1538015892
112,Kahului,US,20.89,-156.47,1,3.28084,87.98,87.99148294,70,11.41,40,1538014320
113,Isla Vista,US,34.41,-119.86,11.94700336,39.19620652,64.4,64.53718672,83,4.7,1,1538013360
114,Anand,IN,22.56,72.96,43.15354919,141.5798903,78.8,79.29552962,83,3.74,0,1538013600
115,Vaitape,PF,-16.52,-151.75,0,0,78.27,78.27,100,14.81,32,1538015892
116,Cabo San Lucas,MX,22.89,-109.91,13.43345356,44.07301178,80.6,80.75425554,83,4.29,75,1538012880
117,Bud,NO,62.91,6.91,12.40785027,40.70817147,48.2,48.3424786,81,16.11,92,1538014800
118,Olenegorsk,RU,68.14,33.28,164,538.05776,37.59,39.47320216,100,4.41,92,1538015893
119,Lamu,KE,-2.27,40.9,16.80753326,55.14282743,72.69,72.8829999,100,11.34,92,1538015893
120,Port Elizabeth,ZA,-33.92,25.57,34.40129089,112.8651312,53.6,53.99502796,87,3.36,0,1538013600
121,Souillac,MU,-20.52,57.52,1.489344001,4.886299372,71.6,71.61710205,78,11.41,40,1538013600
122,Nemuro,JP,43.32,145.57,3.974807978,13.04070901,57.2,57.24564248,76,5.82,75,1538013600
123,Lompoc,US,34.64,-120.46,30.91554642,101.4289613,64.4,64.75500136,86,9.17,75,1538013480
124,Virginia Beach,US,36.85,-75.98,4.478214264,14.69230449,78.98,79.03142307,87,3.36,40,1538013900
125,Ilulissat,GL,69.22,-51.1,15.22115135,49.9381622,33.8,33.97478357,59,13.87,56,1538013000
126,Nuevo Progreso,MX,17.14,-95.05,119.6347275,392.5023993,72.6,73.9737584,99,6.42,76,1538015895
127,Xuddur,SO,4.12,43.89,493.4521179,1618.937447,70.53,76.19628106,85,10.78,8,1538015895
128,Qaanaaq,GL,77.48,-69.36,3.892444372,12.77048719,20.49,20.53469671,100,8.43,56,1538015895
129,Palora,EC,-1.7,-77.97,876.7960815,2876.627656,57.21,67.2781968,100,2.39,12,1538015895
130,La Crosse,US,43.8,-91.24,204.5261383,671.0175356,49.1,51.44856137,87,7.54,1,1538014500
131,Havelock,US,34.88,-76.9,7.034690857,23.07969515,80.96,81.04077893,96,4.7,1,1538013420
132,Kayes,ML,14.44,-11.44,48.29244614,158.439789,75.93,76.48453926,83,2.62,0,1538015845
133,Nara,ML,15.17,-7.29,265.9855042,872.6558814,77.91,80.96429559,71,2.62,36,1538015896
134,Nadvoitsy,RU,63.89,34.27,101.9690094,334.5440048,43.62,44.79090402,100,8.99,64,1538015897
135,Horsham,AU,-36.71,142.2,132.9475555,436.1796581,64.68,66.2066288,88,7.99,0,1538015897
136,Santa Cruz De La Palma,ES,28.68,-17.76,0,0,71.6,71.6,88,10.29,0,1538015400
137,Ajdabiya,LY,30.75,20.22,1.457955599,4.783319047,71.61,71.62674162,78,2.62,88,1538015897
138,Broken Hill,AU,-31.97,141.45,317.6385193,1042.12116,80.88,84.52742406,30,14.03,0,1538015898
139,Arraial Do Cabo,BR,-22.97,-42.02,8.566552162,28.105487,74.31,74.4083692,86,24.32,0,1538015827
140,Hobart,AU,-42.88,147.33,9.245833397,30.33410004,64.4,64.50616935,36,13.87,20,1538013600
141,Great Falls,US,47.5,-111.29,1019.585571,3345.097126,61.7,73.40783994,33,9.17,90,1538013480
142,Jiayuguan,CN,39.77,98.29,1659.739502,5445.339748,43.08,62.13868912,69,5.19,0,1538015898
143,Sinnamary,GF,5.38,-52.96,4.192888737,13.75619708,81.96,82.00814669,96,16.71,0,1538015899
144,Bathsheba,BB,13.22,-59.52,-0.097758673,-0.320730565,82.4,82.39887744,74,17.22,40,1538013600
145,Palmas Bellas,PA,9.23,-80.09,12.23467255,40.14000308,75.2,75.34049001,88,4.7,40,1538013600
146,Kailua,US,21.39,-157.74,0.002804933,0.009202535,87.08,87.08003221,69,8.05,75,1538014440
147,Kavieng,PG,-2.57,150.8,12.33244419,40.4607762,86.55,86.69161272,97,11.79,48,1538015900
148,Kenai,US,60.55,-151.26,3.731769562,12.24333885,53.06,53.10285169,66,6.93,1,1538013360
149,Lorengau,PG,-2.02,147.27,0.95097363,3.119992324,83.4,83.41091997,100,4.97,12,1538015900
150,Tessalit,ML,20.2,1.01,521.5233765,1711.034754,76.02,82.00862164,25,1.5,68,1538015901
151,Middelburg,ZA,-25.77,29.46,1476.216309,4843.229514,63.78,80.7313033,44,6.2,0,1538015901
152,Port Lincoln,AU,-34.72,135.86,1.329777837,4.362788318,59.01,59.02526976,92,11.12,48,1538015616
153,Cabedelo,BR,-6.97,-34.84,4.231160164,13.88175951,75.2,75.24858616,83,6.93,40,1538013600
154,Grand Gaube,MU,-20.01,57.66,16.13599968,52.93963319,71.6,71.78528872,78,11.41,40,1538013600
155,Luderitz,NA,-26.65,15.16,35.71016693,117.1593441,51.63,52.0400577,90,12.57,0,1538015902
156,Tuatapere,NZ,-46.13,167.69,25,82.021,45.96,46.2470735,100,7.31,92,1538015897
157,Hovd,MN,48.01,91.64,1391.369751,4564.861534,47.04,63.01701537,83,4.74,0,1538015902
158,Sibut,CF,5.73,19.09,432.3377686,1418.431045,68.1,73.06450866,97,9.78,76,1538015903
159,Bluff,NZ,-46.6,168.33,40,131.2336,51.27,51.7293176,96,11.9,12,1538015903
160,Ocean City,US,30.44,-86.61,3.754784346,12.31884667,77.36,77.40311596,71,4.7,75,1538013360
161,Pedro Ii,BR,-4.43,-41.45,605.1652222,1985.450267,79.53,86.47907594,43,7.2,0,1538015903
162,Dubbo,AU,-32.25,148.6,264.1345215,866.5831035,71.6,74.63304086,81,5.82,0,1538013600
163,Micheweni,TZ,-4.97,39.83,0.149521381,0.490555727,74.67,74.67171695,100,10.78,92,1538015904
164,Belmonte,BR,-26.84,-53.58,588.5076294,1930.799371,62.25,69.0077978,97,3.29,12,1538015904
165,Dukat,RU,62.55,155.55,749.3877563,2458.621327,35.61,44.21517464,56,3.74,64,1538015904
166,Dangriga,BZ,16.97,-88.23,8.646222115,28.36687136,82.4,82.49928405,83,7.09,40,1538010000
167,Port Hedland,AU,-20.31,118.58,10,32.8084,93.2,93.3148294,23,8.05,0,1538013600
168,San Patricio,MX,19.22,-104.7,0.967774808,3.175114302,84.2,84.2111129,79,9.17,75,1538012460
169,Sitka,US,37.17,-99.65,576.9644775,1892.928136,52.71,59.33524848,61,8.66,0,1538015846
170,Gotsu,JP,35.01,132.22,18.90802765,62.03421343,73.4,73.61711975,49,8.05,40,1538013600
171,Along,IN,28.17,94.8,264.2484131,866.9567636,67.11,70.14434867,97,1.83,92,1538015906
172,Deder,ET,9.31,41.44,2294.968994,7529.426075,60,86.35299126,66,2.17,20,1538015906
173,Kozan,TR,37.45,35.82,133.5155487,438.0431528,68,69.53315103,64,4.7,0,1538013000
174,Male,MV,4.17,73.51,2.816571236,9.240719573,82.4,82.43234252,83,8.05,20,1538013600
175,Khash,IR,28.22,61.21,1414.692139,4641.378556,54.33,70.57482495,67,3.4,0,1538015907
176,San Jose,BO,-17.94,-63.35,519.9880981,1705.997752,77,82.97099213,78,4.7,12,1538013600
177,Alyangula,AU,-13.85,136.42,21.09955597,69.22426721,83.49,83.73228494,82,16.04,0,1538015907
178,La Rioja,AR,-29.41,-66.86,511.805603,1679.152295,65.4,71.27703303,89,6.42,92,1538015908
179,Umm Lajj,SA,25.02,37.27,11.83994293,38.84495837,78.72,78.85595735,97,7.09,0,1538015908
180,Kenmare,IE,51.88,-9.58,12,39.37008,48.21,48.34779528,100,3.85,0,1538015909
181,Hereford,US,34.82,-102.4,1166.098145,3825.781437,54.68,68.07023503,81,3.36,1,1538014500
182,Chernyshevskiy,RU,63.01,112.47,380.0687561,1246.944778,47.58,51.94430672,91,3.51,48,1538015909
183,Wahpeton,US,46.27,-96.61,294.3275452,965.6415833,60.8,64.17974554,66,5.82,90,1538014560
184,Norman Wells,CA,65.28,-126.83,61,200.13124,32,32.70045934,91,5.82,75,1538013600
185,Saint-Philippe,RE,-21.36,55.77,29.17001724,95.70215937,69.8,70.13495756,52,8.05,0,1538013600
186,Bonanza,NI,14.03,-84.62,192.3466187,631.0584803,73.86,76.06870468,97,2.51,48,1538015910
187,Matay,EG,28.42,30.79,37.92964554,124.4410983,68.55,68.98554384,79,10,0,1538015910
188,Kirakira,SB,-10.46,161.92,9.832538605,32.25898596,78.09,78.20290645,100,28.9,100,1538015911
189,Sechura,PE,-5.56,-80.82,13.66311073,44.82648022,68.46,68.61689268,86,11.12,20,1538015904
190,Akdepe,TM,42.05,59.39,75.27076721,246.9513439,48.2,49.0643297,70,4.7,0,1538013600
191,Poddorye,RU,57.47,31.12,71.28318787,233.8687341,46.23,47.04854057,81,19.95,0,1538015911
192,Kabo,CF,7.69,18.62,419.966217,1377.841964,69.27,74.09244687,97,6.53,88,1538015912
193,Kieta,PG,-6.22,155.63,43.40310287,142.398636,81.51,82.00839523,94,13.8,8,1538015912
194,Coahuayana,MX,18.62,-100.35,943.9855347,3097.065502,65.13,75.96972926,92,2.39,8,1538015912
195,Ponta Do Sol,CV,17.2,-25.09,31.72919655,104.0984172,79.35,79.71434446,97,13.35,92,1538015912
196,Caravelas,BR,-17.73,-39.27,0,0,77.19,77.19,100,15.7,56,1538015877
197,Swellendam,ZA,-34.02,20.44,147.8667297,485.1270816,60.8,62.49794479,67,3.36,8,1538013600
198,Rosia De Amaradia,RO,45.05,23.75,543.067627,1781.717993,27.51,33.74601298,75,2.73,0,1538015913
199,Bol,TD,13.47,14.72,279.7948608,917.9621712,76.11,79.3228676,64,1.39,32,1538015913
200,Grindavik,IS,63.84,-22.43,2.477333307,8.127734208,39.2,39.22844707,93,8.05,40,1538013600
201,Bowen,AU,-20.01,148.25,3.288888931,10.79031836,80.6,80.63776611,44,6.93,40,1538010000
202,Mount Gambier,AU,-37.83,140.78,43.86133194,143.9020123,59.28,59.78365704,83,6.76,48,1538015914
203,Cervo,ES,43.67,-7.41,65.55818939,215.0859301,68.55,69.30280076,88,5.19,8,1538015915
204,Itoman,JP,26.12,127.67,6.35067606,20.83555204,86,86.07292443,70,18.34,75,1538013600
205,Vestmanna,FO,62.16,-7.17,225.9813385,741.4086146,44.6,47.19493015,93,2.24,92,1538014800
206,Coquimbo,CL,-29.95,-71.34,65.9830246,216.4797464,55.4,56.15767911,87,2.24,90,1538013600
207,Zyryanka,RU,65.73,150.89,43,141.07612,37.23,37.72376642,71,4.18,88,1538015915
208,Nishihara,JP,35.74,139.53,62.86198044,206.2400999,64.4,65.12184035,87,8.05,90,1538015100
209,Kipushi,CD,-11.76,27.24,1355.296875,4446.512199,58.56,74.1227927,55,4.41,0,1538015916
210,Cayenne,GF,4.94,-52.33,10.96581745,35.97709253,78.8,78.92591982,88,3.36,20,1538013600
211,Lavrentiya,RU,65.58,-170.99,2,6.56168,43.71,43.73296588,94,11.23,56,1538015916
212,Roald,NO,62.58,6.12,3.979628086,13.05652301,48.2,48.24569783,81,13.87,92,1538014800
213,Preston,US,42.1,-111.88,1436.755493,4713.764892,60.08,76.57817712,6,3.36,1,1538013060
214,Nazare,PT,39.6,-9.07,23.94339561,78.55445007,66.2,66.47494058,88,1.12,0,1538013600
215,Torres,BR,-29.34,-49.73,7.73484087,25.37677532,66.03,66.11881871,96,1.83,36,1538015918
216,Atar,MR,20.52,-13.05,224,734.90816,73.86,76.43217856,34,5.19,0,1538015868
217,Northam,AU,-31.65,116.67,151.3457489,496.5411868,62.6,64.33789415,59,14.99,20,1538013600
218,San Cristobal,EC,-1.02,-79.44,97.54531097,320.0305581,62.43,63.55010695,98,2.17,92,1538015919
219,Beloha,MG,-25.17,45.06,154.5306702,506.9904039,57.93,59.70446641,81,2.95,0,1538015919
220,Dalbandin,PK,28.9,64.41,852.1386719,2795.73064,62.34,72.12505724,47,1.72,0,1538015919
221,Altay,CN,47.83,88.13,840.3573608,2757.078044,42.36,52.00977315,56,2.95,0,1538015919
222,Jiwani,PK,25.05,61.74,0,0,78.36,78.36,95,3.74,48,1538015920
223,Poum,NC,-20.23,164.02,0,0,73.95,73.95,98,12.68,36,1538015920
224,Port Blair,IN,11.67,92.75,0,0,82.41,82.41,100,7.54,56,1538015878
225,Orlik,RU,52.51,99.83,1374.980835,4511.092123,30.03,45.81882243,55,2.39,0,1538015920
226,Crotone,IT,39.09,17.12,2.503864765,8.214779676,68.01,68.03875173,100,27.56,8,1538015920
227,Tasiilaq,GL,65.61,-37.64,67.22933197,220.5686815,35.6,36.37199039,69,1.12,12,1538013000
228,Kyabe,TD,9.45,18.94,391.9104309,1285.795418,70.98,75.48028396,92,6.64,24,1538015921
229,Lagoa,PT,37.14,-8.45,49.86245346,163.5907318,77,77.57256756,73,14.99,0,1538013600
230,Bubaque,GW,11.28,-15.83,18.47377777,60.60950906,79.35,79.56213328,100,15.03,68,1538015922
231,Hirara,JP,24.8,125.28,22.70339584,74.48620922,87.8,88.06070173,70,20.8,75,1538013600
232,Kinsale,IE,51.71,-8.52,31.39021111,102.9862602,51.8,52.16045191,100,4.7,75,1538015400
233,Vila Franca Do Campo,PT,37.72,-25.43,32.08849335,105.2772125,73.4,73.76847024,83,18.34,40,1538013600
234,Hebron,US,40.17,-97.59,448.7123718,1472.153498,54.68,59.83253724,65,6.93,1,1538014500
235,Severo-Kurilsk,RU,50.68,156.12,11.84739113,38.86939471,50.91,51.04604288,86,14.58,0,1538015825
236,Hithadhoo,MV,-0.6,73.08,1.010560036,3.315485788,81.33,81.3416042,100,16.82,80,1538015826
237,Tiksi,RU,71.64,128.87,33.85548782,111.0744387,33.81,34.19876054,92,10.67,0,1538015923
238,Sabzevar,IR,36.21,57.68,970.484314,3184.003757,46.23,57.37401315,72,2.51,0,1538015924
239,Farmington,US,36.73,-108.21,1620.393555,5316.25199,68,86.60688196,7,5.82,1,1538013180
240,Portland,AU,-33.35,149.98,917.5521851,3010.341911,58.2,68.73619669,71,3.06,0,1538015924
241,Xingyi,CN,24.19,102.82,1813.424316,5949.555034,68.28,89.10344262,83,3.4,76,1538015924
242,Itarema,BR,-2.92,-39.92,20,65.6168,76.65,76.8796588,84,15.14,0,1538015925
243,Busselton,AU,-33.64,115.35,0,0,60.09,60.09,100,10.45,44,1538015816
244,Husavik,IS,66.04,-17.34,26.36935616,86.51363845,35.6,35.90279773,100,2.24,75,1538013600
245,Batemans Bay,AU,-35.71,150.18,14.74106503,48.36307578,63.33,63.49927077,71,6.64,0,1538015857
246,Porto Santo,PT,33.07,-16.34,62.38865662,204.6872002,68,68.7164052,82,3.36,20,1538013600
247,Necochea,AR,-38.55,-58.74,18.83950233,61.80939284,46.95,47.16633287,81,10,92,1538015743
248,Kichera,RU,55.93,110.1,465,1525.5906,40.29,45.6295671,97,2.62,88,1538015926
249,Ngaoundere,CM,7.32,13.58,1130.28125,3708.271936,62.88,75.85895178,96,2.95,76,1538015927
250,Shemgang,BT,27.22,90.66,1852.152344,6076.615495,69.72,90.98815423,90,1.72,76,1538015927
251,Longyearbyen,SJ,78.22,15.64,16.40800095,53.83202582,23,23.18841209,67,13.87,40,1538013000
252,U Thong,TH,14.38,99.89,14.82351208,48.63357136,88.35,88.5202175,69,6.76,0,1538015928
253,Esmeraldas,EC,-1.87,-79.8,7.720047474,25.32824055,73.4,73.48864884,78,16.11,40,1538013600
254,Jalu,LY,29.03,21.55,40.45962143,132.7415444,72.06,72.52459541,73,8.43,0,1538015928
